N,P,K,temperature,humidity,ph,rainfall,label
96,46,53,16.949342,56.607275,7.111729,417.441402,Bugday
115,65,34,20.067433,58.754362,7.227359,414.138805,Bugday
99,47,39,19.141188,57.984594,6.774922,422.538925,Bugday
91,61,47,18.078305,56.934532,7.224161,424.742192,Bugday
93,56,41,19.675341,54.457049,7.560986,405.147602,Bugday
100,46,41,18.509297,55.905791,6.901698,405.685154,Bugday
100,42,31,17.770493,56.03887,7.4686,421.38031,Bugday
115,54,32,17.867249,54.970347,6.86051,386.341021,Bugday
106,42,51,16.862728,55.191469,7.05053,409.445417,Bugday
107,68,53,18.45644,54.655358,7.356617,403.351907,Bugday
96,59,47,18.510162,59.174067,6.855945,384.205646,Bugday
94,50,35,16.779436,56.86328,6.972376,410.539168,Bugday
103,53,52,19.596564,53.444512,7.43594,422.069636,Bugday
99,59,39,18.825663,54.055958,7.349213,414.541117,Bugday
80,60,36,18.440504,56.790911,7.208919,423.419795,Bugday
105,48,47,17.206899,53.289053,6.926928,401.112716,Bugday
82,63,34,17.322492,55.523627,7.406841,388.234202,Bugday
80,45,34,16.96372,56.130432,6.75598,410.790997,Bugday
105,68,53,16.521208,52.070442,7.20662,422.08464,Bugday
92,69,51,17.775517,57.805624,7.478157,408.835186,Bugday
116,58,34,17.61587,55.867553,7.439107,397.615501,Bugday
92,66,31,17.675683,54.193354,7.329227,422.01861,Bugday
102,52,46,16.900628,53.483833,6.952001,414.9824,Bugday
93,68,33,18.415048,51.43427,7.25766,395.587431,Bugday
89,56,39,17.456084,52.302146,7.010236,390.624531,Bugday
88,55,52,18.183032,55.576869,6.768508,389.08552,Bugday
95,55,43,19.876721,59.184238,7.08229,415.015361,Bugday
87,62,51,18.052614,53.302924,7.074575,390.949421,Bugday
91,59,39,18.310434,56.765307,7.129121,397.865889,Bugday
102,45,38,16.57361,58.219503,6.708286,384.22437,Bugday
115,68,46,17.631776,51.721038,7.52458,409.830774,Bugday
85,58,48,17.571463,55.430814,6.927292,396.222865,Bugday
104,54,52,19.04671,56.604105,6.818562,410.109691,Bugday
93,57,31,18.526081,54.308317,7.101542,419.406946,Bugday
87,63,31,17.192649,51.609464,7.564126,401.76047,Bugday
90,48,52,19.304232,52.000287,7.271506,380.569908,Bugday
103,53,48,19.655819,57.684664,7.002581,391.631573,Bugday
79,42,53,17.332226,51.775839,7.432416,385.621899,Bugday
114,48,48,17.735033,54.805225,7.425705,418.018872,Bugday
85,66,32,16.546343,54.023209,7.138988,384.661018,Bugday
111,48,32,18.502026,51.457181,6.857832,394.635663,Bugday
90,51,40,17.528291,51.504861,7.081191,410.908851,Bugday
80,67,38,17.339387,58.83971,7.095019,412.497543,Bugday
107,52,37,17.529615,51.925679,7.011942,424.089189,Bugday
103,45,36,18.710629,58.144616,7.423193,388.263418,Bugday
93,44,45,19.23256,57.297211,6.963937,399.302352,Bugday
94,68,37,20.070891,54.944862,7.533633,402.888438,Bugday
99,54,36,17.309698,51.742683,7.456325,385.627611,Bugday
107,65,52,16.977747,59.131566,6.981169,404.447142,Bugday
100,58,40,19.733552,54.38227,6.724316,400.758141,Bugday
97,67,45,17.704848,54.140045,7.494555,398.27518,Bugday
97,47,31,16.745028,52.543433,7.207125,388.20911,Bugday
108,67,53,19.86966,57.861699,6.915693,424.723624,Bugday
107,50,39,18.190291,52.191056,7.388544,418.599184,Bugday
113,60,32,18.954555,55.249581,7.164313,402.009917,Bugday
79,59,42,16.54991,53.965028,7.526528,419.115352,Bugday
83,49,31,17.585223,54.500191,7.326089,407.893966,Bugday
115,47,35,18.85902,52.974018,7.50302,409.688359,Bugday
99,60,53,20.074287,51.87851,7.462508,386.95539,Bugday
85,63,37,17.364223,55.645682,7.174764,389.612389,Bugday
108,64,48,19.824625,58.361524,6.978407,403.514566,Bugday
98,49,35,18.677185,57.250743,7.215196,385.945242,Bugday
95,68,39,16.522779,52.948845,6.962631,414.594807,Bugday
100,46,33,18.272542,52.703276,6.925441,424.983201,Bugday
